"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"580","12068501","Höf und Haid Fuldaische Höfe","","50.39181","9.539138","1925","","0","","",""
"581","12039201","Höf und Haid Haid","","50.410513","9.512645","1925","","0","","",""
"582","12039202","Höf und Haid Haid","","50.410413","9.512667","1925","","0","","",""
"583","12039601","Höf und Haid Kautz","","50.401782","9.546115","1925","","0","","",""
"584","12039602","Höf und Haid Kautz","","50.401413","9.545772","1925","","0","","",""
"585","12039101","Höf und Haid Laugendorf","","50.403615","9.528237","1925","","0","","",""
"586","12039102","Höf und Haid Laugendorf","","50.403658","9.528277","1925","","0","","",""
"587","12228701","Habel Habelgraben Abzweig","","50.627433","9.987992","1710","","0","","",""
"588","12228702","Habel Habelgraben Abzweig","","50.627407","9.98803","1710","","0","","",""
"589","12228601","Habel","","50.635292","9.97595","1710","","0","","",""
"590","12228602","Habel","","50.635213","9.975872","1710","","0","","",""
"591","12019801","Haimbach Sonnenstraße","","50.548802","9.632382","2001","","0","","",""
"592","12019802","Haimbach Sonnenstraße","","50.548867","9.632475","2001","","0","","",""
"593","12046901","Haimbach Kirche","","50.547257","9.626348","2001","","0","","",""
"594","12046902","Haimbach Kirche","","50.547238","9.626125","2001","","0","","",""
"595","12202801","Haimbach Rehweg","","50.548187","9.626268","2001","","0","","",""
"596","12230102","Haimbach Schule","","50.546742","9.625622","2001","","0","","",""
"597","12236401","Haimbach Sportplatz","","50.548795","9.622135","2001","","0","","",""
"598","12236402","Haimbach Sportplatz","","50.548708","9.622358","2001","","0","","",""
"599","12225701","Harbach","","50.570273","9.92328","1728","","0","","",""
"600","12225702","Harbach","","50.570418","9.923403","1728","","0","","",""
"601","12018601","Harmerz Grenadierstraße","","50.515458","9.651058","2001","","0","","",""
"602","12018602","Harmerz Grenadierstraße","","50.515658","9.651175","2001","","0","","",""
"603","12047101","Harmerz Hellersgrundstraße","","50.513907","9.652077","2001","","0","","",""
"604","12047102","Harmerz Hellersgrundstraße","","50.513857","9.652205","2001","","0","","",""
"605","12234001","Harmerz Husarenweg","","50.518842","9.656898","2001","","0","","",""
"606","12234002","Harmerz Husarenweg","","50.51896","9.657103","2001","","0","","",""
